Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,Investors Name,InvestmentnType,Amount in USD
351,2018-02-01,BigBasket,Consumer Internet,"Alibaba, Helion Venture Partners, Bessemer Venture Partners, Ascent Capital",Private Equity,4200000.0
352,2018-02-01,Zomato,Food and Beverages,Ant Financials,Private Equity,4200000.0
353,2018-02-05,Pratilipi,Publishing,Omidyar Network,Private Equity,4200000.0
354,2018-02-05,Asia Institute Of Medical Science,Healthcare,CDC Group Plc,Private Equity,4200000.0
355,2018-02-05,CollegeDekho,Consumer Internet,"Man Capital LLP, Girnar Software, Others",Private Equity,4200000.0
356,2018-02-06,Foodmemories,Consumer Internet,"Bhavesh Manglani, Suraj Saharan, Darshan Upadhyay, Sanjay Notani & Others",Seed funding,4200000.0
357,2018-02-06,Healthi,Healthcare,Montane Ventures,Private Equity,4200000.0
358,2018-02-07,Swiggy,Food and Beverages,Naspers,Private Equity,4200000.0
359,2018-02-08,Shape,Healthcare,Sandeep Mathur,Seed / Angle Funding,4200000.0
360,2018-02-08,Icertis,Consumer Internet,Meritech Capital Partners,Private Equity,4200000.0
361,2018-02-09,healthifyme,Healthcare,Sistema Asia Fund,Private Equity,4200000.0
362,2018-02-09,MedTel,Healthcare,British and Indian Governments,Private Equity,4200000.0
363,2018-02-09,Rupeek,Consumer Internet,"Accel Partners, Sequoia Capital",Private Equity,4200000.0
364,2018-02-09,WebEngage,Technology,Social Capital,Private Equity,4200000.0
365,2018-02-12,Lendingkart,Finance,Fullerton Financial Holdings Pte Ltd & Others,Private Equity,4200000.0
